customer_id,order_cost,day_type,rating,rating_given,prep_time,delivery_time
337525,30.75,Weekend,Not given,False,25,20
358141,12.08,Weekend,Not given,False,25,23
66393,12.23,Weekday,5,True,23,28
106968,29.2,Weekend,3,True,25,15
76942,11.59,Weekday,4,True,25,24
147468,25.22,Weekday,3,True,20,24
157711,6.07,Weekend,Not given,False,28,21
89574,5.97,Weekday,3,True,33,30
121706,16.44,Weekday,5,True,21,26
39705,7.18,Weekday,5,True,29,26
143926,5.92,Weekday,Not given,False,34,28
221206,8.1,Weekend,5,True,23,22
129969,24.3,Weekend,5,True,23,17
104548,11.3,Weekend,3,True,24,23
62667,12.13,Weekday,Not given,False,23,30
66222,16.2,Weekend,5,True,33,25
104555,16.98,Weekend,Not given,False,30,16
139885,33.03,Weekend,Not given,False,21,22
47280,14.12,Weekend,4,True,25,24
67487,16.2,Weekend,4,True,35,26
250494,24.2,Weekend,4,True,21,24
137565,15.91,Weekend,Not given,False,25,20
150599,29.1,Weekday,5,True,21,30
54630,8.92,Weekend,Not given,False,33,16
363783,15.86,Weekday,Not given,False,32,29
41877,29.1,Weekday,5,True,20,29
371590,21.88,Weekday,5,True,24,27
175290,14.02,Weekend,Not given,False,24,16
76686,9.17,Weekend,Not given,False,21,24
149984,12.18,Weekday,Not given,False,20,29
318874,31.33,Weekend,5,True,28,25
302790,29.05,Weekend,5,True,35,24
317794,8.39,Weekday,Not given,False,35,24
105349,9.12,Weekend,Not given,False,34,18
181782,29.1,Weekend,5,True,30,26
65224,15.47,Weekend,Not given,False,32,26
148649,16.01,Weekday,4,True,23,31
118709,24.3,Weekday,4,True,31,29
208020,29.83,Weekday,5,True,20,32
220693,19.89,Weekend,Not given,False,27,19
378482,19.35,Weekend,4,True,21,18
337525,33.22,Weekend,Not given,False,23,19
133637,24.25,Weekend,5,True,22,15
107909,16.44,Weekend,Not given,False,33,22
365237,22.75,Weekend,5,True,30,20
322162,6.74,Weekend,5,True,29,23
198802,29.05,Weekend,5,True,22,30
122864,13.78,Weekend,4,True,34,24
52037,19.89,Weekday,Not given,False,27,24
81110,16.93,Weekend,5,True,33,21
300003,21.88,Weekend,Not given,False,21,19
91817,29.39,Weekend,Not given,False,27,28
112036,20.23,Weekend,5,True,22,20
73895,29.1,Weekend,Not given,False,22,23
130507,22.75,Weekend,3,True,35,29
129486,14.12,Weekend,3,True,31,15
313340,14.6,Weekday,3,True,24,24
177250,12.23,Weekday,5,True,25,33
176234,14.02,Weekend,5,True,20,30
371677,6.79,Weekday,Not given,False,33,28
388918,24.25,Weekend,Not given,False,28,21
68551,33.03,Weekend,Not given,False,33,20
152786,31.38,Weekend,4,True,23,27
62980,8.34,Weekday,Not given,False,22,26
82041,33.03,Weekday,Not given,False,22,32
361616,24.2,Weekday,3,True,22,32
398426,12.46,Weekend,4,True,24,20
130820,15.86,Weekend,5,True,29,23
200074,14.55,Weekend,Not given,False,34,22
65009,32.93,Weekend,5,True,24,23
170221,16.98,Weekend,Not given,False,22,21
58092,8.0,Weekend,5,True,27,23
50616,13.05,Weekend,Not given,False,28,27
133202,29.05,Weekend,5,True,31,16
277898,5.67,Weekday,4,True,23,31
77341,16.93,Weekend,Not given,False,30,25
97079,29.29,Weekend,5,True,20,18
150002,16.15,Weekend,5,True,20,29
87472,22.75,Weekend,Not given,False,31,30
231061,13.34,Weekend,4,True,34,27
